Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Dec  1 15:55 2013

Warning-[STASKW_RMRNA] Illegal entry
logTB.sv, 27
  Real numbers found at file log2Nums.txt line 1 while executing $readmem.
  Please ensure that only binary and hexadecimal numbers are used.

                 910 input = 00758542, logOutput = 00000010110110101100001010100001000000000000000000000000000000000, inverse =00758542, ref_input =00758542, ref_output=xxxxxxxx
                 920 input = 00539501, logOutput = 00000010110010011100101010000000100000000000000000000000000000000, inverse =00539501, ref_input =00539501, ref_output=xxxxxxxx
                 930 input = 05307975, logOutput = 00000011010010011000001111001011101010000000000000000000000000000, inverse =05307975, ref_input =05307975, ref_output=xxxxxxxx
                 940 input = 07791672, logOutput = 00000011010110111100100010110011100100000000000000000000000000000, inverse =07791672, ref_input =07791672, ref_output=xxxxxxxx
                 950 input = 09340106, logOutput = 00000011011001001101000000000100000110000000000000000000000000000, inverse =09340106, ref_input =09340106, ref_output=xxxxxxxx
                 960 input = 01299062, logOutput = 00000011000001010011001000001100010000000000000000000000000000000, inverse =01299062, ref_input =01299062, ref_output=xxxxxxxx
                 970 input = 05688236, logOutput = 00000011010010110100010000010001101100000000000000000000000000000, inverse =05688236, ref_input =05688236, ref_output=xxxxxxxx
                 980 input = 04693906, logOutput = 00000011010000110100100111001000001100000000000000000000000000000, inverse =04693906, ref_input =04693906, ref_output=xxxxxxxx
                 990 input = 00119020, logOutput = 00000010100000110010000001000000000000000000000000000000000000000, inverse =00119020, ref_input =00119020, ref_output=xxxxxxxx
                1000 input = 03371226, logOutput = 00000011001100110111000100100010011000000000000000000000000000000, inverse =03371226, ref_input =03371226, ref_output=xxxxxxxx
                1010 input = 01621823, logOutput = 00000011000011000100001100000100011000000000000000000000000000000, inverse =01621823, ref_input =01621823, ref_output=xxxxxxxx
                1020 input = 07942845, logOutput = 00000011010111001010000101000010001010000000000000000000000000000, inverse =07942845, ref_input =07942845, ref_output=xxxxxxxx
                1030 input = 03112150, logOutput = 00000011001100010001001000010101000000000000000000000000000000000, inverse =03112150, ref_input =03112150, ref_output=xxxxxxxx
                1040 input = 05285331, logOutput = 00000011010010010100001010011001100010000000000000000000000000000, inverse =05285331, ref_input =05285331, ref_output=xxxxxxxx
                1050 input = 01656487, logOutput = 00000011000011001010110010010000111000000000000000000000000000000, inverse =01656487, ref_input =01656487, ref_output=xxxxxxxx
                1060 input = 06019819, logOutput = 00000011010100000000110011000000110010000000000000000000000000000, inverse =06019819, ref_input =06019819, ref_output=xxxxxxxx
                1070 input = 02629712, logOutput = 00000011001001100010100101110001001000000000000000000000000000000, inverse =02629712, ref_input =02629712, ref_output=xxxxxxxx
                1080 input = 06540790, logOutput = 00000011010100101010000000111100100000000000000000000000000000000, inverse =06540790, ref_input =06540790, ref_output=xxxxxxxx
                1090 input = 06892145, logOutput = 00000011010101000100100100001010001010000000000000000000000000000, inverse =06892145, ref_input =06892145, ref_output=xxxxxxxx
                1100 input = 07481515, logOutput = 00000011010110100100000010101000101010000000000000000000000000000, inverse =07481515, ref_input =07481515, ref_output=xxxxxxxx
                1110 input = 04505415, logOutput = 00000011010000101000001010100000101010000000000000000000000000000, inverse =04505415, ref_input =04505415, ref_output=xxxxxxxx
                1120 input = 00838213, logOutput = 00000010111000001110000010000100110000000000000000000000000000000, inverse =00838213, ref_input =00838213, ref_output=xxxxxxxx
                1130 input = 02289769, logOutput = 00000011001000101000100101110110100100000000000000000000000000000, inverse =02289769, ref_input =02289769, ref_output=xxxxxxxx
                1140 input = 09133373, logOutput = 00000011011001000100110011001101110011000000000000000000000000000, inverse =09133373, ref_input =09133373, ref_output=xxxxxxxx
                1150 input = 01523780, logOutput = 00000011000010100100011011110000000000000000000000000000000000000, inverse =01523780, ref_input =01523780, ref_output=xxxxxxxx
                1160 input = 08258169, logOutput = 00000011011000001001011000000101101001000000000000000000000000000, inverse =08258169, ref_input =08258169, ref_output=xxxxxxxx
                1170 input = 05383424, logOutput = 00000011010010011100000110100001001000000000000000000000000000000, inverse =05383424, ref_input =05383424, ref_output=xxxxxxxx
                1180 input = 09961347, logOutput = 00000011011001100101100001001101000111000000000000000000000000000, inverse =09961347, ref_input =09961347, ref_output=xxxxxxxx
                1190 input = 00781755, logOutput = 00000010110111000000101110101010100000000000000000000000000000000, inverse =00781755, ref_input =00781755, ref_output=xxxxxxxx
                1200 input = 04426782, logOutput = 00000011010000100001001100111100000100000000000000000000000000000, inverse =04426782, ref_input =04426782, ref_output=xxxxxxxx
                1210 input = 01066527, logOutput = 00000011000000001100110010100100111000000000000000000000000000000, inverse =01066527, ref_input =01066527, ref_output=xxxxxxxx
                1220 input = 09618980, logOutput = 00000011011001011000011000100110000000000000000000000000000000000, inverse =09618980, ref_input =09618980, ref_output=xxxxxxxx
                1230 input = 00046342, logOutput = 00000010010000110001101000010000000000000000000000000000000000000, inverse =00046342, ref_input =00046342, ref_output=xxxxxxxx
                1240 input = 07749104, logOutput = 00000011010110111010010010001000001000000000000000000000000000000, inverse =07749104, ref_input =07749104, ref_output=xxxxxxxx
                1250 input = 08173032, logOutput = 00000011011000000101110011000000110010000000000000000000000000000, inverse =08173032, ref_input =08173032, ref_output=xxxxxxxx
                1260 input = 08686947, logOutput = 00000011011000011010000110100101000111000000000000000000000000000, inverse =08686947, ref_input =08686947, ref_output=xxxxxxxx
                1270 input = 00844358, logOutput = 00000010111000010001000011010110000000000000000000000000000000000, inverse =00844358, ref_input =00844358, ref_output=xxxxxxxx
                1280 input = 03997826, logOutput = 00000011001110011001011110000010011000000000000000000000000000000, inverse =03997826, ref_input =03997826, ref_output=xxxxxxxx
                1290 input = 02598704, logOutput = 00000011001001011001100001110000010000000000000000000000000000000, inverse =02598704, ref_input =02598704, ref_output=xxxxxxxx
                1300 input = 08000684, logOutput = 00000011011000000000000000011010000100000000000000000000000000000, inverse =08000684, ref_input =08000684, ref_output=xxxxxxxx
                1310 input = 04314138, logOutput = 00000011010000011000101000001001110000000000000000000000000000000, inverse =04314138, ref_input =04314138, ref_output=xxxxxxxx
                1320 input = 09106475, logOutput = 00000011011001000100000110010001110101000000000000000000000000000, inverse =09106475, ref_input =09106475, ref_output=xxxxxxxx
                1330 input = 01818470, logOutput = 00000011000100000011000010001110000000000000000000000000000000000, inverse =01818470, ref_input =01818470, ref_output=xxxxxxxx
                1340 input = 02638029, logOutput = 00000011001001100011100000000010100100000000000000000000000000000, inverse =02638029, ref_input =02638029, ref_output=xxxxxxxx
                1350 input = 01455389, logOutput = 00000011000010001010101001110001001000000000000000000000000000000, inverse =01455389, ref_input =01455389, ref_output=xxxxxxxx
                1360 input = 01360685, logOutput = 00000011000001101100000011010000101000000000000000000000000000000, inverse =01360685, ref_input =01360685, ref_output=xxxxxxxx
                1370 input = 08692922, logOutput = 00000011011000011010010010100100100010000000000000000000000000000, inverse =08692922, ref_input =08692922, ref_output=xxxxxxxx
                1380 input = 05797045, logOutput = 00000011010010111100101110000010001010000000000000000000000000000, inverse =05797045, ref_input =05797045, ref_output=xxxxxxxx
                1390 input = 05498602, logOutput = 00000011010010100100110000110000000100000000000000000000000000000, inverse =05498602, ref_input =05498602, ref_output=xxxxxxxx
                1400 input = 01449547, logOutput = 00000011000010001001001010101000111000000000000000000000000000000, inverse =01449547, ref_input =01449547, ref_output=xxxxxxxx
                1410 input = 08530311, logOutput = 00000011011000010100110000001100010001000000000000000000000000000, inverse =08530311, ref_input =08530311, ref_output=xxxxxxxx
                1420 input = 06220551, logOutput = 00000011010100010001000000101010100010000000000000000000000000000, inverse =06220551, ref_input =06220551, ref_output=xxxxxxxx
                1430 input = 03509523, logOutput = 00000011001101010000100101010010001100000000000000000000000000000, inverse =03509523, ref_input =03509523, ref_output=xxxxxxxx
                1440 input = 05132495, logOutput = 00000011010010001001100100100100101010000000000000000000000000000, inverse =05132495, ref_input =05132495, ref_output=xxxxxxxx
                1450 input = 04018080, logOutput = 00000011010000000000110000000100000000000000000000000000000000000, inverse =04018080, ref_input =04018080, ref_output=xxxxxxxx
                1460 input = 00759666, logOutput = 00000010110110101100101100110011000000000000000000000000000000000, inverse =00759666, ref_input =00759666, ref_output=xxxxxxxx
                1470 input = 02399161, logOutput = 00000011001000111001100100010110000100000000000000000000000000000, inverse =02399161, ref_input =02399161, ref_output=xxxxxxxx
                1480 input = 01233189, logOutput = 00000011000001000110011000110001001000000000000000000000000000000, inverse =01233189, ref_input =01233189, ref_output=xxxxxxxx
                1490 input = 01839077, logOutput = 00000011000100000111001000001110111000000000000000000000000000000, inverse =01839077, ref_input =01839077, ref_output=xxxxxxxx
                1500 input = 02399525, logOutput = 00000011001000111001100101010010010100000000000000000000000000000, inverse =02399525, ref_input =02399525, ref_output=xxxxxxxx
                1510 input = 04172670, logOutput = 00000011010000001011100100110011100000000000000000000000000000000, inverse =04172670, ref_input =04172670, ref_output=xxxxxxxx
                1520 input = 00496544, logOutput = 00000010110001001011001010100010000000000000000000000000000000000, inverse =00496544, ref_input =00496544, ref_output=xxxxxxxx
                1530 input = 09027161, logOutput = 00000011011001000000100111000101100001000000000000000000000000000, inverse =09027161, ref_input =09027161, ref_output=xxxxxxxx
                1540 input = 09447871, logOutput = 00000011011001010001000111100001110001000000000000000000000000000, inverse =09447871, ref_input =09447871, ref_output=xxxxxxxx
                1550 input = 04908640, logOutput = 00000011010001001000010000110010000000000000000000000000000000000, inverse =04908640, ref_input =04908640, ref_output=xxxxxxxx
                1560 input = 04892526, logOutput = 00000011010001000100100100101001001100000000000000000000000000000, inverse =04892526, ref_input =04892526, ref_output=xxxxxxxx
                1570 input = 03377194, logOutput = 00000011001100110111011100011001010000000000000000000000000000000, inverse =03377194, ref_input =03377194, ref_output=xxxxxxxx
                1580 input = 09000538, logOutput = 00000011011001000000000000010100111000000000000000000000000000000, inverse =09000538, ref_input =09000538, ref_output=xxxxxxxx
                1590 input = 03692467, logOutput = 00000011001101101001001001000110011100000000000000000000000000000, inverse =03692467, ref_input =03692467, ref_output=xxxxxxxx
                1600 input = 01112027, logOutput = 00000011000000100010010000000100111000000000000000000000000000000, inverse =01112027, ref_input =01112027, ref_output=xxxxxxxx
                1610 input = 07802520, logOutput = 00000011010111000000000100101001000000000000000000000000000000000, inverse =07802520, ref_input =07802520, ref_output=xxxxxxxx
                1620 input = 03897388, logOutput = 00000011001110001001011100111000100000000000000000000000000000000, inverse =03897388, ref_input =03897388, ref_output=xxxxxxxx
                1630 input = 02416912, logOutput = 00000011001001000001011010010001001000000000000000000000000000000, inverse =02416912, ref_input =02416912, ref_output=xxxxxxxx
                1640 input = 04039121, logOutput = 00000011010000000001110010001001000010000000000000000000000000000, inverse =04039121, ref_input =04039121, ref_output=xxxxxxxx
                1650 input = 00964545, logOutput = 00000010111001011001000101010001010000000000000000000000000000000, inverse =00964545, ref_input =00964545, ref_output=xxxxxxxx
                1660 input = 01319732, logOutput = 00000011000001100011001011100110010000000000000000000000000000000, inverse =01319732, ref_input =01319732, ref_output=xxxxxxxx
                1670 input = 09420505, logOutput = 00000011011001010000100000010100000101000000000000000000000000000, inverse =09420505, ref_input =09420505, ref_output=xxxxxxxx
                1680 input = 09561345, logOutput = 00000011011001010101100001001101000101000000000000000000000000000, inverse =09561345, ref_input =09561345, ref_output=xxxxxxxx
                1690 input = 05752085, logOutput = 00000011010010111010100100000100001010000000000000000000000000000, inverse =05752085, ref_input =05752085, ref_output=xxxxxxxx
                1700 input = 00597795, logOutput = 00000010110011001011101111001010100000000000000000000000000000000, inverse =00597795, ref_input =00597795, ref_output=xxxxxxxx
                1710 input = 02347799, logOutput = 00000011001000110100011101111001100100000000000000000000000000000, inverse =02347799, ref_input =02347799, ref_output=xxxxxxxx
                1720 input = 03531585, logOutput = 00000011001101010011000101011000010100000000000000000000000000000, inverse =03531585, ref_input =03531585, ref_output=xxxxxxxx
                1730 input = 08211940, logOutput = 00000011011000001000010001100101000000000000000000000000000000000, inverse =08211940, ref_input =08211940, ref_output=xxxxxxxx
                1740 input = 00154034, logOutput = 00000010100010101000000001101000000000000000000000000000000000000, inverse =00154034, ref_input =00154034, ref_output=xxxxxxxx
                1750 input = 00430238, logOutput = 00000010110000011000000100011100000000000000000000000000000000000, inverse =00430238, ref_input =00430238, ref_output=xxxxxxxx
                1760 input = 01689900, logOutput = 00000011000011010001001100100000000000000000000000000000000000000, inverse =01689900, ref_input =01689900, ref_output=xxxxxxxx
                1770 input = 06491154, logOutput = 00000011010100100100100010001010101000000000000000000000000000000, inverse =06491154, ref_input =06491154, ref_output=xxxxxxxx
                1780 input = 07317223, logOutput = 00000011010110011000101110010001000110000000000000000000000000000, inverse =07317223, ref_input =07317223, ref_output=xxxxxxxx
                1790 input = 06477459, logOutput = 00000011010100100011101110100010110010000000000000000000000000000, inverse =06477459, ref_input =06477459, ref_output=xxxxxxxx
                1800 input = 04509237, logOutput = 00000011010000101000010010010001101110000000000000000000000000000, inverse =04509237, ref_input =04509237, ref_output=xxxxxxxx
                1810 input = 05470088, logOutput = 00000011010010100011100000000100010000000000000000000000000000000, inverse =05470088, ref_input =05470088, ref_output=xxxxxxxx
                1820 input = 02963208, logOutput = 00000011001010010110001100100000100000000000000000000000000000000, inverse =02963208, ref_input =02963208, ref_output=xxxxxxxx
                1830 input = 07446928, logOutput = 00000011010110100010001101001001010000000000000000000000000000000, inverse =07446928, ref_input =07446928, ref_output=xxxxxxxx
                1840 input = 01889550, logOutput = 00000011000100010001001010101010000000000000000000000000000000000, inverse =01889550, ref_input =01889550, ref_output=xxxxxxxx
                1850 input = 06867754, logOutput = 00000011010101000011001110111010101000000000000000000000000000000, inverse =06867754, ref_input =06867754, ref_output=xxxxxxxx
                1860 input = 01835111, logOutput = 00000011000100000110101000100010001000000000000000000000000000000, inverse =01835111, ref_input =01835111, ref_output=xxxxxxxx
                1870 input = 03684845, logOutput = 00000011001101101000010010000100010100000000000000000000000000000, inverse =03684845, ref_input =03684845, ref_output=xxxxxxxx
                1880 input = 06256185, logOutput = 00000011010100010010101100001100001010000000000000000000000000000, inverse =06256185, ref_input =06256185, ref_output=xxxxxxxx
